ProductId	VendorId	UPC	Product Description	CasePack	Size	ShipCaseQty	WhseCase Cost	OffInvoice	BillBack	CRV	TransPk	TransCfg	TransUnitCt	TransConfigWt	TransCaseCost	TransCRV	RetailMult	Retail Unit	TransCaseQty	IsActive
2056	31	3000031186	Quaker Chewy Choc. Chunk	12	8 OZ	1	29.28	7.92	0.00	0.00	1	Case	12	8	21.36	0.00	1	2.48	1	0
2938	31	3000057051	Quaker Instant Oat Strw/Cream	12	12.30 oz	1	48.24	24.24	0.00	0.00	1	Case	12	13	24.00	0.00	1	2.98	1	0
2937	31	3000056828	Quaker Inst Oat Fruit/Cream	12	10.5 oz	1	48.24	24.24	0.00	0.00	1	Case	12	13	24.00	0.00	1	2.98	1	0
1991	31	3000031181	Quaker Bar Chewy Smores	12	6.72 OZ	1	35.52	14.28	0.00	0.00	1	Case	12	6	21.24	0.00	1	1.98	1	0
1992	31	3000031184	Quaker  Bar Chewy PB CC	12	6.72 OZ	1	35.52	14.28	0.00	0.00	1	Case	12	6	21.24	0.00	1	1.98	1	0
1993	31	3000031188	Quaker Bar Chewy Var. Pack	12	6.72 OZ	1	35.52	14.28	0.00	0.00	1	Case	12	6	21.24	0.00	1	1.98	1	0
1994	31	3000031269	Quaker Bar Chewy Dipps CC	12	6.5 OZ	1	35.52	14.28	0.00	0.00	1	Case	12	6	21.24	0.00	1	1.98	1	0
1995	31	3000031271	Quaker Bar Chewy Dipps PB Choc.	12	6.3 OZ	1	35.52	14.28	0.00	0.00	1	Case	12	6	21.24	0.00	1	1.98	1	0
2516	31	1530001496	CHTS Cheesy Jal. Mac cp	12	2.25 OZ	1	19.68	7.68	0.00	0.00	1	Case	12	4	12.00	0.00	1	0.98	1	0
2517	31	1530020023	CHTS Flamin Hot Mac CP	12	5.60 OZ	1	18.72	7.44	0.00	0.00	1	Case	12	8	11.28	0.00	1	0.98	1	0
2548	31	3000016920	Quaker Crisp Mini Caramel	12	3.05 OZ	1	26.64	10.08	0.00	0.00	1	Case	12	4	16.56	0.00	1	1.98	1	1
2549	31	30000116924	Quaker White Ched Mini Rice	12	3.03 OZ	12	26.64	10.08	0.00	0.00	1	Case	12	4	16.56	0.00	1	1.98	12	1
2550	31	3000031249	Popped Sm Rice Crisps SC	12	3 OZ	1	23.52	9.72	0.00	0.00	1	Case	12	4	13.80	0.00	1	1.98	1	0
2627	31	3000016921	Quaker Mini Apple Cinn.	12	3.5  OZ	1	26.64	10.08	0.00	0.00	1	Case	12	4	16.56	0.00	1	1.98	1	1
2646	31	3000057370	Pearl Milling CC Pancake Cup	12	2.11 OZ	1	15.84	4.08	0.00	0.00	1	Case	12	3	11.76	0.00	1	1.28	1	0
2647	31	3000057371	Pearl Milling BM Pancake Cup	12	2.11 OZ	1	15.84	4.08	0.00	0.00	1	Case	12	3	11.76	0.00	1	1.28	1	0
244	31	3000040195	Quaker Chewy Granola Halloween	20	18 CT	1	42.55	0.00	9.90	0.00	1	Case	20	15.16	20.00	0.00	1	1.48	1	0
2666	31	3000016930	Quaker Mini Creamy Ranch	12	3.03 oz	1	26.64	10.08	0.00	0.00	1	Case	12	4	16.56	0.00	1	2.99	1	0
2667	31	3000016901	Quaker Plain Salted Rice Cakes	12	4.5OZ	1	31.56	6.00	0.00	0.00	1	Case	12	7	25.56	0.00	1	2.98	1	0
2668	31	3000016902	Quaker Plain Unsalted Rice Cakes	12	4.47 OZ	1	31.56	6.00	0.00	0.00	1	case	12	7	25.56	0.00	1	2.98	1	0
2669	31	3000016909	Quaker Wite Ched ChsPopcorn	12	4.9 OZ	1	31.56	6.00	0.00	0.00	1	Case	12	7	25.56	0.00	1	2.98	1	0
2670	31	3000016910	uaker Carmel Corn Rice Cakes	12	4 OZ	1	31.56	6.00	0.00	0.00	1	Case	12	7	25.56	0.00	1	2.98	1	0
2671	31	3000016918	Quaker Btr Popped Crn Rice Cake	12	4.47 OZ	1	31.56	6.00	0.00	0.00	1	Case	12	7	25.56	0.00	1	2.98	1	0
638	31	0000005300	A/Jemima Pancak Mix Complete B/Milk	12	32 OZ	1	26.04	0.00	7.50	0.00	1	2 Layer	288	408	430.00	0.00	1	1.98	24	0
639	31	0000005040	A/Jemima Pancake Mix Original	12	32 OZ	1	26.04	0.00	7.50	0.00	1	Layer	144	204	215.00	0.00	1	1.98	12	0
640	31	0000005070	A/Jemima Pancake Mix Complete	12	32 OZ	1	26.04	0.00	7.50	0.00	1	Case	12	17	18.02	0.00	1	1.98	1	0
1162	31	0000057393	Pearl Milling Mix and Syrup Pallet	141	ASST	1	524.97	127.35	0.00	0.00	1	1/4 Pallet	141	450	397.62	0.00	1	3.98	1	0
2337	31	3000065070	Pearl Complete Pancake Mix	12	32 OZ	1	42.84	13.80	0.00	0.00	1	Case	12	26.7	29.04	0.00	1	2.48	1	0
2338	31	3000065300	Pearl Buttermilk Pancake	12	32 OZ	1	42.84	13.80	0.00	0.00	1	Case	12	26.7	29.04	0.00	1	2.48	1	0
1886	31	3000005800	Aunt Jemima Lite Syrup	12	24 OZ	1	36.24	13.15	0.00	0.00	1	Case	12	20	23.09	0.00	1	2.48	1	0
1887	31	3000005970	Aunt Jemima Pancake  Syruo	12	24 OZ	1	36.24	13.15	0.00	0.00	1	Case	12	20	23.09	0.00	1	2.48	1	0
2339	31	3000065800	Pearl Lite Syrup	12	24 OZ	1	45.24	21.24	0.00	0.00	1	Case	12	27.7	24.00	0.00	1	2.48	1	0
2340	31	3000065940	Pearl Reg. Butter Syrup	12	24 OZ	1	45.24	21.24	0.00	0.00	1	Case	12	27.7	24.00	0.00	1	2.48	1	0
2341	31	3000065970	Pearl Regular Syrup	12	24 OZ	1	45.24	21.24	0.00	0.00	1	Case	12	27.7	24.00	0.00	1	2.48	1	0
2323	31	3000005800	Aunt Jemima Lite Syrup	12	24 OZ	1	36.24	13.15	0.00	0.00	1	Case	12	22	23.09	0.00	1	2.98	1	0
2324	31	3000005970	Aunt Jemima Pancake Syrup	12	24 OZ	1	36.24	13.15	0.00	0.00	1	Case	12	22	23.09	0.00	1	2.98	1	0
